Time,Axis1,Axis2,Axis3,VM,Active
947003400,938,1971,2261,3143,TRUE
947003460,842,1245,1220,1936,TRUE
947003520,360,222,519,670,TRUE
947003580,582,947,1590,1940,TRUE
947003640,191,601,1210,1364,TRUE
947003700,52,610,1077,1239,TRUE
947003760,352,1152,1434,1873,TRUE
947003820,1901,2767,2006,3911,TRUE
947003880,65,250,24,259,TRUE
947003940,226,645,292,743,TRUE
947004000,1530,1553,1426,2605,TRUE
947004060,3333,3268,3688,5949,TRUE
947004120,6202,5175,5459,9749,TRUE
947004180,4803,3536,4109,7243,TRUE
947004240,5076,3277,5624,8254,TRUE
947004300,4573,3398,4515,7269,TRUE
947004360,5082,3922,4427,7798,TRUE
947004420,4472,3322,3615,6641,TRUE
947004480,2891,2977,4092,5828,TRUE
947004540,2974,2555,2816,4827,TRUE
947004600,2722,2881,2564,4721,TRUE
947004660,4293,3214,3860,6608,TRUE
947004720,4267,3394,4840,7291,TRUE
947004780,4287,2780,4454,6778,TRUE
947004840,2970,2663,3392,5236,TRUE
947004900,2055,2466,2393,4004,TRUE
947004960,623,1615,463,1792,TRUE
947005020,381,1000,127,1078,TRUE
947005080,264,638,141,705,TRUE
947005140,223,119,154,296,TRUE
947005200,0,0,0,0,FALSE
947005260,140,616,134,646,TRUE
947005320,0,0,0,0,FALSE
947005380,0,0,0,0,FALSE
947005440,0,0,0,0,FALSE
947005500,307,900,308,1000,TRUE
947005560,798,891,818,1449,TRUE
947005620,992,906,977,1661,TRUE
947005680,10,22,0,24,TRUE
947005740,167,244,23,297,TRUE
947005800,160,332,89,379,TRUE
947005860,104,274,7,293,TRUE
947005920,6,66,18,69,TRUE
947005980,0,0,0,0,FALSE
947006040,163,210,37,268,TRUE
947006100,56,87,73,127,TRUE
947006160,7,108,5,108,TRUE
947006220,191,842,210,889,TRUE
947006280,0,190,0,190,TRUE
947006340,0,2,0,2,FALSE
947006400,153,249,71,301,TRUE
947006460,140,353,154,410,TRUE
947006520,101,366,22,380,TRUE
947006580,73,148,9,165,TRUE
947006640,120,289,62,319,TRUE
947006700,0,0,0,0,FALSE
947006760,26,31,0,40,TRUE
947006820,0,0,0,0,FALSE
947006880,141,245,20,283,TRUE
947006940,168,392,32,428,TRUE
947007000,15,95,0,96,TRUE
947007060,168,204,94,280,TRUE
947007120,0,0,0,0,FALSE
947007180,197,639,136,682,TRUE
947007240,4880,4046,3755,7368,TRUE
947007300,3146,2050,2583,4558,TRUE
947007360,2227,2141,1930,3643,TRUE
947007420,3853,2666,3686,5962,TRUE
947007480,3123,2878,3304,5381,TRUE
947007540,3522,3217,3422,5871,TRUE
947007600,2567,3819,2105,5060,TRUE
947007660,4499,3809,4291,7291,TRUE
947007720,3756,3492,3069,5977,TRUE
947007780,4013,2469,2410,5292,TRUE
947007840,2295,1730,1837,3411,TRUE
947007900,321,403,891,1029,TRUE
947007960,225,343,199,456,TRUE
947008020,299,359,150,491,TRUE
947008080,359,469,527,792,TRUE
947008140,2575,2759,1883,4218,TRUE
947008200,3349,3106,3289,5629,TRUE
947008260,5110,3567,3341,7071,TRUE
947008320,3512,2323,2775,5043,TRUE
947008380,3725,3431,2820,5797,TRUE
947008440,3252,2399,2503,4753,TRUE
